meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,swim_time_as_time,alt_adjust_flag,converted_time_flag,elig_period_code,standard_name,RANK,full_desc_intl,fina_points,meet_city,country_code,time_is_for_ineligible_secondary_team_yn
"2016 Mesa PSS","24.69","4/15/2016","50 Freestyle LCM Female","USA","United States","Vollmer, Dana","F","11/13/1987","55","1/1/1900 12:00:24 AM","","","","""A""","18","50 Metres Freestyle Female LC","887","Mesa","USA","N"
"U.S. Olympic Team Trials - Swimming","24.70","7/3/2016","50 Freestyle LCM Female","USA","United States","Smoliga, Olivia","F","10/12/1994","55","1/1/1900 12:00:24 AM","","","","""A""","19","50 Metres Freestyle Female LC","886","Omaha, NE","USA","N"
"2016 Konami Open","24.74","2/19/2016","50 Freestyle LCM Female","JPN","Japan","Ikee, Rikako","F","7/4/2000","55","1/1/1900 12:00:24 AM","","","","""A""","20","50 Metres Freestyle Female LC","882","Tokyo","JPN","N"
"2016 CHN National Championships ","24.75","4/3/2016","50 Freestyle LCM Female","CHN","China","Liu, Xiang","F","9/1/1996","55","1/1/1900 12:00:24 AM","","","","""A""","21","50 Metres Freestyle Female LC","881","Foshan","CHN","N"
"53rd Trofeo Sette Colli","24.75","6/24/2016","50 Freestyle LCM Female","SWE","Sweden","Alshammar, Therese","F","8/26/1977","55","1/1/1900 12:00:24 AM","","","","""A""","21","50 Metres Freestyle Female LC","881","Rome","ITA","N"
"2016 SE Southern Premier","24.80","3/5/2016","50 Freestyle LCM Female","BAH","Bahamas","Vanderpool-Wallace, Arianna","F","3/4/1990","55","1/1/1900 12:00:24 AM","","","","""A""","23","50 Metres Freestyle Female LC","876","Knoxville","","N"
"2016 Canadian Olympic Swimming Trials","24.82","4/5/2016","50 Freestyle LCM Female","CAN","Canada","Williams, Michelle","F","1/2/1991","55","1/1/1900 12:00:24 AM","","","","""A""","24","50 Metres Freestyle Female LC","873","Toronto","CAN","N"
"U.S. Olympic Team Trials - Swimming","24.85","7/2/2016","50 Freestyle LCM Female","USA","United States","Neal, Lia","F","2/13/1995","55","1/1/1900 12:00:24 AM","","","","""A""","25","50 Metres Freestyle Female LC","870","Omaha, NE","USA","N"
"2016 Arena Pro Swim Series","24.85","6/4/2016","50 Freestyle LCM Female","AUS","Australia","McKeon, Emma","F","5/24/1994","55","1/1/1900 12:00:24 AM","","","","""A""","25","50 Metres Freestyle Female LC","870","Santa Clara","USA","N"
"Swim Cup Eindhoven 2016","24.87","4/6/2016","50 Freestyle LCM Female","NED","Netherlands","Van Vliet, Tamara","F","12/31/1994","55","1/1/1900 12:00:24 AM","","","","""A""","27","50 Metres Freestyle Female LC","868","Eindhoven","NED","N"
"Russian National Swimming Championships","24.90","4/22/2016","50 Freestyle LCM Female","RUS","Russia","Nasretdinova, Rozaliya","F","2/10/1997","55","1/1/1900 12:00:24 AM","","","","""A""","28","50 Metres Freestyle Female LC","865","Moscow","RUS","N"
"2016 Arena Pro Swim Series","24.90","6/4/2016","50 Freestyle LCM Female","AUS","Australia","Elmslie, Brittany","F","6/19/1994","55","1/1/1900 12:00:24 AM","","","","""A""","28","50 Metres Freestyle Female LC","865","Santa Clara","USA","N"
"2016 Aquatic Super Series","24.92","2/5/2016","50 Freestyle LCM Female","CHN","China","Zhu, Menghui","F","1/1/1999","55","1/1/1900 12:00:24 AM","","","","""A""","30","50 Metres Freestyle Female LC","863","Perth","AUS","N"
"Meeting Open de la Mediterranee Circuit FFN - Gold","24.93","3/6/2016","50 Freestyle LCM Female","ITA","Italy","Di Pietro, Silvia","F","4/6/1993","55","1/1/1900 12:00:24 AM","","","","""A""","31","50 Metres Freestyle Female LC","862","Marseille","FRA","N"
"2016 ST Arena Pro Swim at Austin","24.95","1/16/2016","50 Freestyle LCM Female","EGY","Egypt","Osman, Farida","F","1/18/1995","55","1/1/1900 12:00:24 AM","","","","""A""","32","50 Metres Freestyle Female LC","860","Austin","USA","N"
"Maria Lenk Trophy - Test Event","24.95","4/20/2016","50 Freestyle LCM Female","BRA","Brazil","Ferreira, Lorrane","F","3/17/1993","55","1/1/1900 12:00:24 AM","","","","""A""","32","50 Metres Freestyle Female LC","860","Rio de Janeiro","BRA","N"
"2016 Australian Champs","24.95","4/13/2016","50 Freestyle LCM Female","AUS","Australia","Jack, Shayna","F","11/6/1998","55","1/1/1900 12:00:24 AM","","","","""A""","32","50 Metres Freestyle Female LC","860","Adelaide","AUS","N"
"Championnats de France Elite","24.98","3/31/2016","50 Freestyle LCM Female","USA","United States","Worrell, Kelsi","F","7/15/1994","55","1/1/1900 12:00:24 AM","","","","""A""","35","50 Metres Freestyle Female LC","857","Montpellier","FRA","N"
"2016 Konami Open","25.00","2/19/2016","50 Freestyle LCM Female","JPN","Japan","Uchida, Miki","F","2/21/1995","55","1/1/1900 12:00:25 AM","","","","""A""","36","50 Metres Freestyle Female LC","855","Tokyo","JPN","N"
"Polish Championships","25.03","5/27/2016","50 Freestyle LCM Female","POL","Poland","Urbanczyk, Aleksandra","F","11/13/1987","55","1/1/1900 12:00:25 AM","","","","""A""","37","50 Metres Freestyle Female LC","852","Szczecin","POL","N"
"LEN: European Championships","25.04","5/22/2016","50 Freestyle LCM Female","GRE","Greece","Drakou, Theodora","F","2/6/1992","55","1/1/1900 12:00:25 AM","","","","""A""","38","50 Metres Freestyle Female LC","851","London","GBR","N"
"Open Championship of The Republic of Belarus  ","25.04","4/23/2016","50 Freestyle LCM Female","BLR","Belarus","Khitraya, Yuliya","F","9/11/1989","55","1/1/1900 12:00:25 AM","","","","""A""","38","50 Metres Freestyle Female LC","851","Brest","BLR","N"
"2016 Canadian Olympic Swimming Trials","25.04","4/5/2016","50 Freestyle LCM Female","CAN","Canada","Mainville, Sandrine","F","3/20/1992","55","1/1/1900 12:00:25 AM","","","","""A""","38","50 Metres Freestyle Female LC","851","Toronto","CAN","N"
"U.S. Olympic Team Trials - Swimming","25.05","7/2/2016","50 Freestyle LCM Female","USA","United States","Martin, Ivy","F","7/29/1993","55","1/1/1900 12:00:25 AM","","","","""A""","41","50 Metres Freestyle Female LC","850","Omaha, NE","USA","N"
"Mare Nostrum - Spanish Grand Prix","25.06","6/11/2016","50 Freestyle LCM Female","BRA","Brazil","Herrmann, Graciele","F","1/1/1992","55","1/1/1900 12:00:25 AM","","","","""A""","42","50 Metres Freestyle Female LC","849","Barcelona","ESP","N"
"U.S. Olympic Team Trials - Swimming","25.08","7/2/2016","50 Freestyle LCM Female","USA","United States","Weir, Amanda","F","3/11/1986","55","1/1/1900 12:00:25 AM","","","","""A""","43","50 Metres Freestyle Female LC","847","Omaha, NE","USA","N"
"Championnats de France Elite","25.13","3/31/2016","50 Freestyle LCM Female","FRA","France","Henique, Melanie","F","12/22/1992","55","1/1/1900 12:00:25 AM","","","","""A""","44","50 Metres Freestyle Female LC","842","Montpellier","FRA","N"
"Swim Cup Eindhoven 2016","25.15","4/6/2016","50 Freestyle LCM Female","NED","Netherlands","Busch, Kim","F","6/16/1998","55","1/1/1900 12:00:25 AM","","","","""A""","45","50 Metres Freestyle Female LC","839","Eindhoven","NED","N"
"OSU - MSU","25.15","1/15/2016","50 Freestyle LCM Female","CHN","China","Li, Zhesi","F","8/7/1995","55","1/1/1900 12:00:25 AM","","","","""A""","45","50 Metres Freestyle Female LC","839","Columbus","","N"
"2016 Australian Champs","25.15","4/13/2016","50 Freestyle LCM Female","AUS","Australia","Barratt, Holly","F","1/1/1988","55","1/1/1900 12:00:25 AM","","","","""A""","45","50 Metres Freestyle Female LC","839","Adelaide","AUS","N"
"Polish Championships","25.15","5/27/2016","50 Freestyle LCM Female","POL","Poland","Dowgiert, Anna","F","7/15/1990","55","1/1/1900 12:00:25 AM","","","","""A""","45","50 Metres Freestyle Female LC","839","Szczecin","POL","N"
"U.S. Olympic Team Trials - Swimming","25.16","7/2/2016","50 Freestyle LCM Female","USA","United States","Goeders, Anya","F","8/13/2000","55","1/1/1900 12:00:25 AM","","","","""A""","49","50 Metres Freestyle Female LC","838","Omaha, NE","USA","N"
"BUCS Long Course 2016","25.17","2/20/2016","50 Freestyle LCM Female","GBR","Great Britain","Hopkin, Anna","F","4/24/1996","55","1/1/1900 12:00:25 AM","","","","""A""","50","50 Metres Freestyle Female LC","837","Sheffield","GBR","N"
"Championnats de France Elite","21.42","4/3/2016","50 Freestyle LCM Male","FRA","France","Manaudou, Florent","M","11/12/1990","55","1/1/1900 12:00:21 AM","","","","""A""","1","50 Metres Freestyle Male LC","934","Montpellier","FRA","N"
"2016 Australian Champs","21.44","4/12/2016","50 Freestyle LCM Male","AUS","Australia","McEvoy, Cameron","M","5/13/1994","55","1/1/1900 12:00:21 AM","","","","""A""","2","50 Metres Freestyle Male LC","931","Adelaide","AUS","N"
"U.S. Olympic Team Trials - Swimming","21.51","7/2/2016","50 Freestyle LCM Male","USA","United States","Adrian, Nathan","M","12/7/1988","55","1/1/1900 12:00:21 AM","","","","""A""","3","50 Metres Freestyle Male LC","922","Omaha, NE","USA","N"
"U.S. Olympic Team Trials - Swimming","21.52","7/2/2016","50 Freestyle LCM Male","USA","United States","Ervin, Anthony","M","5/26/1981","55","1/1/1900 12:00:21 AM","","","","""A""","4","50 Metres Freestyle Male LC","921","Omaha, NE","USA","N"
"Mare Nostrum - Spanish Grand Prix","21.61","6/12/2016","50 Freestyle LCM Male","UKR","Ukraine","Govorov, Andrii","M","4/10/1992","55","1/1/1900 12:00:21 AM","","","","""A""","5","50 Metres Freestyle Male LC","909","Barcelona","ESP","N"
"British Championships 2016","21.65","4/16/2016","50 Freestyle LCM Male","GBR","Great Britain","Proud, Benjamin","M","9/21/1994","55","1/1/1900 12:00:21 AM","","","","""A""","6","50 Metres Freestyle Male LC","904","Glasgow","GBR","N"
"Russian National Championships","21.69","4/16/2016","50 Freestyle LCM Male","RUS","Russia","Morozov, Vladimir","M","6/16/1992","55","1/1/1900 12:00:21 AM","","","","""A""","7","50 Metres Freestyle Male LC","899","Moscow","RUS","N"
"Maria Lenk Trophy - Test Event","21.74","4/20/2016","50 Freestyle LCM Male","BRA","Brazil","Fratus, Bruno","M","6/30/1989","55","1/1/1900 12:00:21 AM","","","","""A""","8","50 Metres Freestyle Male LC","893","Rio de Janeiro","BRA","N"
"U.S. Olympic Team Trials - Swimming","21.75","7/2/2016","50 Freestyle LCM Male","USA","United States","Jones, Cullen","M","2/29/1984","55","1/1/1900 12:00:21 AM","","","","""A""","9","50 Metres Freestyle Male LC","892","Omaha, NE","USA","N"
"U.S. Olympic Team Trials - Swimming","21.76","7/1/2016","50 Freestyle LCM Male","USA","United States","Dressel, Caeleb","M","8/16/1996","55","1/1/1900 12:00:21 AM","","","","""A""","10","50 Metres Freestyle Male LC","891","Omaha, NE","USA","N"
"128. Deutsche Meisterschaften 2016","21.81","5/8/2016","50 Freestyle LCM Male","GER","Germany","Wierling, Damian","M","1/1/1996","55","1/1/1900 12:00:21 AM","","","","""A""","11","50 Metres Freestyle Male LC","885","Berlin","GER","N"
"Maria Lenk Trophy - Test Event","21.82","4/20/2016","50 Freestyle LCM Male","BRA","Brazil","Duarte, Italo","M","3/13/1992","55","1/1/1900 12:00:21 AM","","","","""A""","12","50 Metres Freestyle Male LC","883","Rio de Janeiro","BRA","N"
"U.S. Olympic Team Trials - Swimming","21.84","7/1/2016","50 Freestyle LCM Male","USA","United States","Schneider, Josh","M","1/11/1988","55","1/1/1900 12:00:21 AM","","","","""A""","13","50 Metres Freestyle Male LC","881","Omaha, NE","USA","N"
"LEN European Aquatics Champs","21.89","5/16/2016","50 Freestyle LCM Male","GRE","Greece","Gkolomeev, Kristian","M","7/4/1993","55","1/1/1900 12:00:21 AM","","","","""A""","14","50 Metres Freestyle Male LC","875","London","GBR","N"
"Maria Lenk Trophy - Test Event","21.91","4/20/2016","50 Freestyle LCM Male","BRA","Brazil","Cielo, Cesar","M","1/10/1987","55","1/1/1900 12:00:21 AM","","","","""A""","15","50 Metres Freestyle Male LC","872","Rio de Janeiro","BRA","N"
"National Spring Championships","21.91","4/22/2016","50 Freestyle LCM Male","ITA","Italy","Dotto, Luca","M","4/18/1990","55","1/1/1900 12:00:21 AM","","","","""A""","15","50 Metres Freestyle Male LC","872","Riccione","ITA","N"
"LEN European Aquatics Champs","21.92","5/16/2016","50 Freestyle LCM Male","FIN","Finland","Liukkonen, Ari-Pekka","M","2/9/1989","55","1/1/1900 12:00:21 AM","","","","""A""","17","50 Metres Freestyle Male LC","871","London","GBR","N"
"Spanish Open National Championships ","21.95","3/19/2016","50 Freestyle LCM Male","POL","Poland","Czerniak, Konrad","M","7/11/1989","55","1/1/1900 12:00:21 AM","","","","""A""","18","50 Metres Freestyle Male LC","868","Sabadell","ESP","N"
"U.S. Olympic Team Trials - Swimming","21.96","7/2/2016","50 Freestyle LCM Male","USA","United States","Chadwick, Michael","M","4/15/1995","55","1/1/1900 12:00:21 AM","","","","""A""","19","50 Metres Freestyle Male LC","867","Omaha, NE","USA","N"
"U.S. Olympic Team Trials - Swimming","21.99","7/2/2016","50 Freestyle LCM Male","USA","United States","Feigen, Jimmy","M","9/26/1989","55","1/1/1900 12:00:21 AM","","","","""A""","20","50 Metres Freestyle Male LC","863","Omaha, NE","USA","N"
"U.S. Olympic Team Trials - Swimming","22.06","7/1/2016","50 Freestyle LCM Male","USA","United States","Virva, Dillon","M","12/27/1993","55","1/1/1900 12:00:22 AM","","","","""A""","21","50 Metres Freestyle Male LC","855","Omaha, NE","USA","N"
"National Spring Championships","22.06","4/22/2016","50 Freestyle LCM Male","ITA","Italy","Bocchia, Federico","M","10/24/1986","55","1/1/1900 12:00:22 AM","","","","""A""","21","50 Metres Freestyle Male LC","855","Riccione","ITA","N"
"LEN: European Championships","22.07","5/22/2016","50 Freestyle LCM Male","HUN","Hungary","Takacs, Krisztian","M","12/30/1985","55","1/1/1900 12:00:22 AM","","","","""A""","23","50 Metres Freestyle Male LC","854","London","GBR","N"
"2016 Australian Champs","22.08","4/12/2016","50 Freestyle LCM Male","AUS","Australia","Abood, Matthew","M","6/28/1986","55","1/1/1900 12:00:22 AM","","","","""A""","24","50 Metres Freestyle Male LC","852","Adelaide","AUS","N"
"Championnats de France Elite","22.09","4/3/2016","50 Freestyle LCM Male","FRA","France","Bousquet, Fred","M","4/8/1981","55","1/1/1900 12:00:22 AM","","","","""A""","25","50 Metres Freestyle Male LC","851","Montpellier","FRA","N"
"Japan Swim 2016","22.09","4/10/2016","50 Freestyle LCM Male","JPN","Japan","Nakamura, Katsumi","M","2/21/1994","55","1/1/1900 12:00:22 AM","","","","""A""","25","50 Metres Freestyle Male LC","851","Tokyo","JPN","N"
"U.S. Olympic Team Trials - Swimming","22.09","7/1/2016","50 Freestyle LCM Male","USA","United States","Copeland, William","M","4/21/1986","55","1/1/1900 12:00:22 AM","","","","""A""","25","50 Metres Freestyle Male LC","851","Omaha, NE","USA","N"
"2016 Canadian Olympic & Para S","22.10","4/10/2016","50 Freestyle LCM Male","LTU","Lithuania","Bilis, Simonas","M","11/11/1993","55","1/1/1900 12:00:22 AM","","","","""A""","28","50 Metres Freestyle Male LC","850","Toronto","CAN","N"
"LEN: European Championships","22.12","5/21/2016","50 Freestyle LCM Male","ROU","Romania","Trandafir, Norbert","M","2/8/1988","55","1/1/1900 12:00:22 AM","","","","""A""","29","50 Metres Freestyle Male LC","848","London","GBR","N"
"Swiss Championships","22.12","3/4/2016","50 Freestyle LCM Male","RUS","Russia","Grechin, Andrey","M","10/21/1987","55","1/1/1900 12:00:22 AM","","","","""A""","29","50 Metres Freestyle Male LC","848","Zurich","SUI","N"
"2016 Australian Champs","22.12","4/12/2016","50 Freestyle LCM Male","AUS","Australia","Magnussen, James","M","4/11/1991","55","1/1/1900 12:00:22 AM","","","","""A""","29","50 Metres Freestyle Male LC","848","Adelaide","AUS","N"
"Sa National Aquatic Championships","22.13","4/15/2016","50 Freestyle LCM Male","RSA","South Africa","Tandy, Brad","M","5/2/1991","55","1/1/1900 12:00:22 AM","","","","""A""","32","50 Metres Freestyle Male LC","847","Durban","RSA","N"
"Polish Championships","22.13","5/27/2016","50 Freestyle LCM Male","POL","Poland","Juraszek, Pawel","M","10/8/1994","55","1/1/1900 12:00:22 AM","","","","""A""","32","50 Metres Freestyle Male LC","847","Szczecin","POL","N"
"Polish Championships","22.13","5/27/2016","50 Freestyle LCM Male","POL","Poland","Wypych, Filip","M","4/20/1991","55","1/1/1900 12:00:22 AM","","","","""A""","32","50 Metres Freestyle Male LC","847","Szczecin","POL","N"
"Japan Swim 2016","22.14","4/10/2016","50 Freestyle LCM Male","JPN","Japan","Shioura, Shinri","M","11/26/1991","55","1/1/1900 12:00:22 AM","","","","""A""","35","50 Metres Freestyle Male LC","846","Tokyo","JPN","N"
"2016 Australian Champs","22.14","4/12/2016","50 Freestyle LCM Male","AUS","Australia","Abood, Andrew","M","4/27/1990","55","1/1/1900 12:00:22 AM","","","","""A""","35","50 Metres Freestyle Male LC","846","Adelaide","AUS","N"
"2016 Charlotte PSS","22.15","5/14/2016","50 Freestyle LCM Male","CAN","Canada","Condorelli, Santo","M","1/17/1995","55","1/1/1900 12:00:22 AM","","","","""A""","37","50 Metres Freestyle Male LC","844","Charlotte","USA","N"
"2016 GHF Australian Age Championship","22.15","3/28/2016","50 Freestyle LCM Male","AUS","Australia","Chalmers, Kyle","M","6/25/1998","55","1/1/1900 12:00:22 AM","","","","""A""","37","50 Metres Freestyle Male LC","844","Adelaide","AUS","N"
"Russian National Championships","22.16","4/16/2016","50 Freestyle LCM Male","RUS","Russia","Bryanskiy, Aleksei","M","1/1/1997","55","1/1/1900 12:00:22 AM","","","","""A""","39","50 Metres Freestyle Male LC","843","Moscow","RUS","N"
"2016 CHN National Championships ","22.16","4/3/2016","50 Freestyle LCM Male","CHN","China","Yu, Hexin","M","1/1/1996","55","1/1/1900 12:00:22 AM","","","","""A""","39","50 Metres Freestyle Male LC","843","Foshan","CHN","N"
"Russian National Swimming Championships","22.16","4/22/2016","50 Freestyle LCM Male","RUS","Russia","Brianskii, Aleksei","M","9/14/1997","55","1/1/1900 12:00:22 AM","","","","""A""","39","50 Metres Freestyle Male LC","843","Moscow","RUS","N"
"Mare Nostrum MONACO","22.16","6/5/2016","50 Freestyle LCM Male","FRA","France","Mignon, Clement","M","1/21/1993","55","1/1/1900 12:00:22 AM","","","","""A""","39","50 Metres Freestyle Male LC","843","Montecarlo","MON","N"
"U.S. Olympic Team Trials - Swimming","22.17","7/1/2016","50 Freestyle LCM Male","USA","United States","Powers, Paul","M","11/7/1995","55","1/1/1900 12:00:22 AM","","","","""A""","43","50 Metres Freestyle Male LC","842","Omaha, NE","USA","N"
"2016 Australian Champs","22.17","4/12/2016","50 Freestyle LCM Male","AUS","Australia","Stockwell, William","M","7/30/1995","55","1/1/1900 12:00:22 AM","","","","""A""","43","50 Metres Freestyle Male LC","842","Adelaide","AUS","N"
"Maria Lenk Trophy - Test Event","22.17","4/20/2016","50 Freestyle LCM Male","BRA","Brazil","Chierighini, Marcelo","M","1/15/1991","55","1/1/1900 12:00:22 AM","","","","""A""","43","50 Metres Freestyle Male LC","842","Rio de Janeiro","BRA","N"
"Russian National Swimming Championships","22.20","4/22/2016","50 Freestyle LCM Male","RUS","Russia","Fesikov, Sergey","M","1/21/1989","55","1/1/1900 12:00:22 AM","","","","""A""","46","50 Metres Freestyle Male LC","839","Moscow","RUS","N"
"2016 Australian Champs","22.22","4/12/2016","50 Freestyle LCM Male","AUS","Australia","Roberts, James","M","4/11/1991","55","1/1/1900 12:00:22 AM","","","","""A""","47","50 Metres Freestyle Male LC","836","Adelaide","AUS","N"
"U.S. Olympic Team Trials - Swimming","22.22","7/1/2016","50 Freestyle LCM Male","USA","United States","Andrew, Michael","M","4/18/1999","55","1/1/1900 12:00:22 AM","","","","""A""","47","50 Metres Freestyle Male LC","836","Omaha, NE","USA","N"
"2016 Canadian Olympic Swimming Trials","22.23","4/5/2016","50 Freestyle LCM Male","CAN","Canada","Kisil, Yuri","M","9/18/1995","55","1/1/1900 12:00:22 AM","","","","""A""","49","50 Metres Freestyle Male LC","835","Toronto","CAN","N"
"British Championships 2016","22.24","4/16/2016","50 Freestyle LCM Male","GBR","Great Britain","Fannon, Thomas","M","5/20/1998","55","1/1/1900 12:00:22 AM","","","","""A""","50","50 Metres Freestyle Male LC","834","Glasgow","GBR","N"
"2016 Swimming Australia Grand Prix ","52.06","7/1/2016","100 Freestyle LCM Female","AUS","Australia","Campbell, Cate","F","5/20/1992","56","1/1/1900 12:00:52 AM","","","","""A""","1","100 Metres Freestyle Female LC","1000","Brisbane","AUS","N"
"2016 Australian Champs","52.58","4/11/2016","100 Freestyle LCM Female","AUS","Australia","Campbell, Bronte","F","5/14/1994","56","1/1/1900 12:00:52 AM","","","","""A""","2","100 Metres Freestyle Female LC","971","Adelaide","AUS","N"
"Swim Open Stockholm","52.78","4/2/2016","100 Freestyle LCM Female","SWE","Sweden","Sjostrom, Sarah","F","8/17/1993","56","1/1/1900 12:00:52 AM","","","","""A""","3","100 Metres Freestyle Female LC","960","Stockholm","SWE","N"
"2016 Australian Champs","52.80","4/11/2016","100 Freestyle LCM Female","AUS","Australia","McKeon, Emma","F","5/24/1994","56","1/1/1900 12:00:52 AM","","","","""A""","4","100 Metres Freestyle Female LC","959","Adelaide","AUS","N"
"Sette Colli International","53.14","6/25/2016","100 Freestyle LCM Female","NED","Netherlands","Kromowidjojo, Ranomi","F","8/20/1990","56","1/1/1900 12:00:53 AM","","","","""A""","5","100 Metres Freestyle Female LC","940","Rome","ITA","N"
"Sette Colli International","53.18","6/25/2016","100 Freestyle LCM Female","ITA","Italy","Pellegrini, Federica","F","8/5/1988","56","1/1/1900 12:00:53 AM","","","","""A""","6","100 Metres Freestyle Female LC","938","Rome","ITA","N"
"U.S. Olympic Team Trials - Swimming","53.28","7/1/2016","100 Freestyle LCM Female","USA","United States","Weitzeil, Abbey","F","12/3/1996","56","1/1/1900 12:00:53 AM","","","","""A""","7","100 Metres Freestyle Female LC","933","Omaha, NE","USA","N"
"2016 Canadian Olympic Swimming Trials","53.31","4/5/2016","100 Freestyle LCM Female","CAN","Canada","Oleksiak, Penny","F","6/6/2000","56","1/1/1900 12:00:53 AM","","","","""A""","8","100 Metres Freestyle Female LC","931","Toronto","CAN","N"
"U.S. Olympic Team Trials - Swimming","53.52","7/1/2016","100 Freestyle LCM Female","USA","United States","Manuel, Simone","F","8/2/1996","56","1/1/1900 12:00:53 AM","","","","""A""","9","100 Metres Freestyle Female LC","920","Omaha, NE","USA","N"
"2016 Australian Champs","53.54","4/11/2016","100 Freestyle LCM Female","SWE","Sweden","Coleman, Michelle","F","10/31/1993","56","1/1/1900 12:00:53 AM","","","","""A""","10","100 Metres Freestyle Female LC","919","Adelaide","AUS","N"
"2016 Australian Champs","53.54","4/11/2016","100 Freestyle LCM Female","AUS","Australia","Elmslie, Brittany","F","6/19/1994","56","1/1/1900 12:00:53 AM","","","","""A""","10","100 Metres Freestyle Female LC","919","Adelaide","AUS","N"
"2016 Charlotte PSS","53.59","5/15/2016","100 Freestyle LCM Female","USA","United States","Vollmer, Dana","F","11/13/1987","56","1/1/1900 12:00:53 AM","","","","""A""","12","100 Metres Freestyle Female LC","917","Charlotte","USA","N"
