meet_name,swim_time_relay,swim_date,full_desc,full_desc_intl,team_code,team_short_name,gender,event_id,swim_time_relay_as_time,sort_order,alt_adjust_flag,converted_time_flag,standard_name,rank,leg1_full_name,leg2_full_name,leg3_full_name,leg4_full_name,club_secondary_team_id,secondary_organization_level1_id,swim_time_relay1,eligible_yn,fina_points,meet_city,country_code,time_is_for_ineligible_secondary_team_yn
"LEN: European Championships","3:38.29","5/16/2016","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","FRA","France","F","78","1/1/1900 12:03:38 AM","780","","","n/a","9","Cini, Mathilde","Hache, Cloe","Santamans, Anna","Bonnet, Charlotte","384","281","1/1/1900 12:03:38 AM","Y","0","London","GBR","N"
"16th FINA WORLD CHAMPIONSHIPS","3:38.47","8/2/2015","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","JPN","Japan","F","78","1/1/1900 12:03:38 AM","780","","","n/a","10","Uchida, Miki","Ikee, Rikako","Yamaguchi, Misaki","Matsumoto, Yayori","411","238","1/1/1900 12:03:38 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","3:38.63","8/2/2015","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","RUS","Russia","F","78","1/1/1900 12:03:38 AM","780","","","n/a","11","Popova, Veronika","Lovtcova, Natalya","Andreeva, Viktoriya","Kameneva, Maria","473","143","1/1/1900 12:03:38 AM","Y","0","Kazan","RUS","N"
"LEN: European Championships","3:39.38","5/16/2016","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","DEN","Denmark","F","78","1/1/1900 12:03:39 AM","780","","","n/a","12","Nielsen, Mie Oestergaard","Jensen, Julie Kepp","Bro, Sarah","Blume, Pernille","367","276","1/1/1900 12:03:39 AM","Y","0","London","GBR","N"
"Open Championship of The Republic of Belarus  ","3:40.37","4/21/2016","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","BLR","Belarus","F","78","1/1/1900 12:03:40 AM","780","","","n/a","13","Herasimenia, Aliaksandra","Khitraya, Yuliya","Dziamidava, Aksana","Karakouskaya, Nastassia","337","274","1/1/1900 12:03:40 AM","Y","0","Brest","BLR","N"
"LEN: European Championships","3:40.64","5/16/2016","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","ESP","Spain","F","78","1/1/1900 12:03:40 AM","780","","","n/a","14","Gallardo Carapeto, Fatima","Gonzalez Crivillers, Marta","Castro Ortega, Patricia","Munoz Del Campo, Lidon","491","277","1/1/1900 12:03:40 AM","Y","0","London","GBR","N"
"16th FINA WORLD CHAMPIONSHIPS","3:40.89","8/2/2015","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","POL","Poland","F","78","1/1/1900 12:03:40 AM","780","","","n/a","15","Wilk, Katarzyna Maria","Tchorz, Alicja","Urbanczyk, Aleksandra","Dowgiert, Anna","465","297","1/1/1900 12:03:40 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","3:41.56","8/2/2015","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","GER","Germany","F","78","1/1/1900 12:03:41 AM","780","","","n/a","16","Bruhn, Annika","Brandt, Dorothea","Wenk, Alexandra","Huether, Marlene","387","284","1/1/1900 12:03:41 AM","Y","0","Kazan","RUS","N"
"LEN: European Championships","3:41.76","5/16/2016","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","SUI","Switzerland","F","78","1/1/1900 12:03:41 AM","780","","","n/a","17","Ugolkova, Maria","Touretski, Alexandra Sasha","Villars, Danielle Carmen","Girardet, Noemi","498","299","1/1/1900 12:03:41 AM","Y","0","London","GBR","N"
"Open Belgian Championships Swimming 2016","3:41.95","5/27/2016","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","ISR","Israel","F","78","1/1/1900 12:03:41 AM","780","","","n/a","18","Siebner, Keren M","Ivry, Amit","Shikler, Zohar Hen","Murez, Andrea","407","140","1/1/1900 12:03:41 AM","Y","0","Antwerpen","BEL","N"
"16th FINA WORLD CHAMPIONSHIPS","3:42.11","8/2/2015","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","HKG","Hong Kong","F","78","1/1/1900 12:03:42 AM","780","","","n/a","19","Cheng, Camille Lily Mei","Au, Hoi Shun Stephanie","Sze, Hang Yu","Haughey, Siobhan Bernadette","399","232","1/1/1900 12:03:42 AM","Y","0","Kazan","RUS","N"
"LEN: European Championships","3:43.16","5/16/2016","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","FIN","Finland","F","78","1/1/1900 12:03:43 AM","780","","","n/a","20","Teijonsalo, Fanny Emilia","Seppala, Hanna-Maria","Nevalainen, Lotta","Jallow, Mimosa","383","280","1/1/1900 12:03:43 AM","Y","0","London","GBR","N"
"LEN: European Championships","3:43.67","5/16/2016","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","GBR","Great Britain","F","78","1/1/1900 12:03:43 AM","780","","","n/a","21","Cooper, Harriet","Coates, Georgia","Faulkner, Eleanor","Hope, Lucy","390","282","1/1/1900 12:03:43 AM","Y","0","London","GBR","N"
"16th FINA WORLD CHAMPIONSHIPS","3:44.06","8/2/2015","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","AUT","Austria","F","78","1/1/1900 12:03:44 AM","780","","","n/a","22","Koschischek, Birgit","Zaiser, Lisa","Kreundl, Lena","Steinegger, Joerdis","331","270","1/1/1900 12:03:44 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","3:46.15","8/2/2015","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","COL","Colombia","F","78","1/1/1900 12:03:46 AM","780","","","n/a","23","Arcila, Isabella","Colorado, Carolina","Alvarez, Maria P","Camposano, Jessica M","358","201","1/1/1900 12:03:46 AM","Y","0","Kazan","RUS","N"
"2015 Pan American Games","3:46.24","7/14/2015","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","VEN","Venezuela","F","78","1/1/1900 12:03:46 AM","780","","","n/a","24","Marquez, Jennifer L","Pinto Perez, Andreina Del Valle","Pinto, Jeserik A","Semeco, Arlene I","519","225","1/1/1900 12:03:46 AM","Y","0","Toronto","CAN","N"
"28th SEA Games 2015","3:46.60","6/6/2015","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","SIN","Singapore","F","78","1/1/1900 12:03:46 AM","780","","","n/a","25","Chan, Shi Min Nur Marina","Lim, Xiang Qi Amanda","Hoong, En Qi","Quah, Ting Wen","485","258","1/1/1900 12:03:46 AM","Y","0","Singapore","SIN","N"
"16th FINA WORLD CHAMPIONSHIPS","3:10.74","8/2/2015","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","FRA","France","M","78","1/1/1900 12:03:10 AM","780","","","n/a","1","Metella, Mehdy","Manaudou, Florent","Gilot, Fabien","Stravius, Jeremy","384","281","1/1/1900 12:03:10 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","3:11.19","8/2/2015","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","RUS","Russia","M","78","1/1/1900 12:03:11 AM","780","","","n/a","2","Grechin, Andrey","Lobintsev, Nikita","Morozov, Vladimir Victorovich","Sukhorukov, Alexander","473","143","1/1/1900 12:03:11 AM","Y","0","Kazan","RUS","N"
"2016 Australian Champs","3:12.26","4/7/2016","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","AUS","Australia","M","78","1/1/1900 12:03:12 AM","780","","","n/a","3","Roberts, James","Chalmers, Kyle","Magnussen, James","McEvoy, Cameron","330","147","1/1/1900 12:03:12 AM","Y","0","Adelaide","AUS","N"
"16th FINA WORLD CHAMPIONSHIPS","3:12.53","8/2/2015","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","ITA","Italy","M","78","1/1/1900 12:03:12 AM","780","","","n/a","4","Dotto, Luca","Orsi, Marco","Santucci, Michele","Magnini, Filippo","408","288","1/1/1900 12:03:12 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","3:13.22","8/2/2015","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","BRA","Brazil","M","78","1/1/1900 12:03:13 AM","780","","","n/a","5","Chierighini, Marcelo","Santana, Matheus","Fratus, Bruno Giuseppe","De Lucca, Joao B","344","198","1/1/1900 12:03:13 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","3:14.12","8/2/2015","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","POL","Poland","M","78","1/1/1900 12:03:14 AM","780","","","n/a","6","Korzeniowski, Pawel","Majchrzak, Kacper","Holub, Jan","Czerniak, Konrad","465","297","1/1/1900 12:03:14 AM","Y","0","Kazan","RUS","N"
"LEN: European Championships","3:14.30","5/16/2016","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","BEL","Belgium","M","78","1/1/1900 12:03:14 AM","780","","","n/a","7","Surgeloose, Glenn","Aerents, Jasper","Dekoninck, Dieter","Timmers, Pieter","338","272","1/1/1900 12:03:14 AM","Y","0","London","GBR","N"
"2015 Pan American Games","3:14.32","7/14/2015","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","CAN","Canada","M","78","1/1/1900 12:03:14 AM","780","","","n/a","8","Condorelli, Santo Yukio","Krug, Karl B","Van Moerkerke, Evan","Kisil, Yuri","352","132","1/1/1900 12:03:14 AM","Y","0","Toronto","CAN","N"
"LEN: European Championships","3:14.42","5/16/2016","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","GRE","Greece","M","78","1/1/1900 12:03:14 AM","780","","","n/a","9","Meladinis, Odysseys","Katrantzis, Christos","Christou, Apostolos","Gkolomeev, Kristian","391","286","1/1/1900 12:03:14 AM","Y","0","London","GBR","N"
"16th FINA WORLD CHAMPIONSHIPS","3:14.76","8/2/2015","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","JPN","Japan","M","78","1/1/1900 12:03:14 AM","780","","","n/a","10","Nakamura, Katsumi","Shioura, Shinri","Kobori, Yuki","Fujii, Takuro","411","238","1/1/1900 12:03:14 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","3:15.41","8/2/2015","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","CHN","China","M","78","1/1/1900 12:03:15 AM","780","","","n/a","11","Ning, Zetao","Yu, Hexin","Lin, Yongqing","Xu, Qiheng","462","231","1/1/1900 12:03:15 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","3:15.70","8/2/2015","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","GBR","Great Britain","M","78","1/1/1900 12:03:15 AM","780","","","n/a","12","Jarvis, Calum","Proud, Benjamin","Renwick, Robert","Scott, Duncan","390","282","1/1/1900 12:03:15 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","3:16.01","8/2/2015","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","USA","United States","M","78","1/1/1900 12:03:16 AM","780","","","n/a","13","Feigen, James Ernest","Ervin, Anthony Lee","Grevers, Matthew C","Dwyer, Conor J","515","323","1/1/1900 12:03:16 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","3:16.01","8/2/2015","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","GER","Germany","M","78","1/1/1900 12:03:16 AM","780","","","n/a","13","Oswald, Maximilian","Deibler, Steffen","Di Carli, Marco","Biedermann, Paul","387","284","1/1/1900 12:03:16 AM","Y","0","Kazan","RUS","N"
"LEN: European Championships","3:16.54","5/16/2016","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","ROU","Romania","M","78","1/1/1900 12:03:16 AM","780","","","n/a","15","Radu, Marius","Macovei, Daniel","Coste, Alin","Trandafir, Norbert","472","142","1/1/1900 12:03:16 AM","Y","0","London","GBR","N"
"LEN: European Championships","3:16.55","5/16/2016","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","HUN","Hungary","M","78","1/1/1900 12:03:16 AM","780","","","n/a","16","Holoda, Peter","Takacs, Krisztian","Bohus, Richard","Kozma, Dominik","400","138","1/1/1900 12:03:16 AM","Y","0","London","GBR","N"
"Spanish Open National Championships ","3:16.77","3/19/2016","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","ESP","Spain","M","78","1/1/1900 12:03:16 AM","780","","","n/a","17","Ortiz, Miguel","Martinez Rodriguez, Aitor","Ortiz-Canavate Ozek, B.K.","Aguilar Urtxegi, Oskitz","491","277","1/1/1900 12:03:16 AM","Y","0","Sabadell","ESP","N"
"2015 Pan American Games","3:17.41","7/14/2015","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","ARG","Argentina","M","78","1/1/1900 12:03:17 AM","780","","","n/a","18","Grabich, Federico","Aguilera, Matias","Rodriguez, Lautaro","Buscaglia, Guido","327","192","1/1/1900 12:03:17 AM","Y","0","Toronto","CAN","N"
"Sa National Aquatic Championships","3:17.64","4/10/2016","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","RSA","South Africa","M","78","1/1/1900 12:03:17 AM","780","","","n/a","19","Erasmus, Douglas","Jimmie, Clayton M","Coetzee, Ryan","Muller, Caydon","490","314","1/1/1900 12:03:17 AM","Y","0","Durban","RSA","N"
"16th FINA WORLD CHAMPIONSHIPS","3:17.97","8/2/2015","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","TUR","Turkey","M","78","1/1/1900 12:03:17 AM","780","","","n/a","20","Bashlakov, Iskender","Celik, Doga","Ayar, Kaan Tuerker","Gurdal, Kemal Arda","508","301","1/1/1900 12:03:17 AM","Y","0","Kazan","RUS","N"
"Open Championship of The Republic of Belarus  ","3:18.28","4/23/2016","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","BLR","Belarus","M","78","1/1/1900 12:03:18 AM","780","","","n/a","21","Machekin, Artyom","Latkin, Anton","Staselovich, Viktar","Tsurkin, Yauhen","337","274","1/1/1900 12:03:18 AM","Y","0","Brest","BLR","N"
"16th FINA WORLD CHAMPIONSHIPS","3:18.31","8/2/2015","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","ISR","Israel","M","78","1/1/1900 12:03:18 AM","780","","","n/a","22","Konovalov, Alexi","Toumarkin, Yakov Yan","Kalontarov, Ziv","Gamburg, David","407","140","1/1/1900 12:03:18 AM","Y","0","Kazan","RUS","N"
"LEN: European Championships","3:18.70","5/16/2016","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","SWE","Sweden","M","78","1/1/1900 12:03:18 AM","780","","","n/a","23","Carlsen, Christoffer","Eliasson, Isak","Andreasson, Robin Daniel","Forndal, Daniel","497","300","1/1/1900 12:03:18 AM","Y","0","London","GBR","N"
"LEN: European Championships","3:18.78","5/16/2016","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","LTU","Lithuania","M","78","1/1/1900 12:03:18 AM","780","","","n/a","24","Sadauskas, Mindaugas","Bilis, Simonas","Duskinas, Tadas","Strazdas, Povilas","425","291","1/1/1900 12:03:18 AM","Y","0","London","GBR","N"
"2015 Pan American Games","3:18.88","7/14/2015","400 M FR-R LCM","4x100 Metres Freestyle Relay Male LC","VEN","Venezuela","M","78","1/1/1900 12:03:18 AM","780","","","n/a","25","Subirats, Albert A","Tirabassi, Daniele Domenico","Lopez, Jesus","Quintero, Cristian","519","225","1/1/1900 12:03:18 AM","Y","0","Toronto","CAN","N"
"16th FINA WORLD CHAMPIONSHIPS","7:45.37","8/6/2015","800 F FR-R LCM","4x200 Metres Freestyle Relay Female LC","USA","United States","F","79","1/1/1900 12:07:45 AM","790","","","n/a","1","Franklin, Melissa Jeanette","Smith, Leah Grace","McLaughlin, Kathryn Ann","Ledecky, Kathleen Genevieve","515","323","1/1/1900 12:07:45 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","7:48.41","8/6/2015","800 F FR-R LCM","4x200 Metres Freestyle Relay Female LC","ITA","Italy","F","79","1/1/1900 12:07:48 AM","790","","","n/a","2","Mizzau, Alice","Musso, Erica","Masini Luccetti, Chiara","Pellegrini, Federica","408","288","1/1/1900 12:07:48 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","7:49.10","8/6/2015","800 F FR-R LCM","4x200 Metres Freestyle Relay Female LC","CHN","China","F","79","1/1/1900 12:07:49 AM","790","","","n/a","3","Qiu, Yuhan","Guo, Jun Jun","Zhang, Yufei","Shen, Duo","462","231","1/1/1900 12:07:49 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","7:50.24","8/6/2015","800 F FR-R LCM","4x200 Metres Freestyle Relay Female LC","SWE","Sweden","F","79","1/1/1900 12:07:50 AM","790","","","n/a","4","Sjostrom, Sarah Fredrica","Hansson, Louise","Coleman, Michelle","Marko-Varga, Ida","497","300","1/1/1900 12:07:50 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","7:50.60","8/6/2015","800 F FR-R LCM","4x200 Metres Freestyle Relay Female LC","GBR","Great Britain","F","79","1/1/1900 12:07:50 AM","790","","","n/a","5","O'Connor, Siobhan-Marie","Carlin, Jazmin","Turner, Rebecca","Miley, Hannah","390","282","1/1/1900 12:07:50 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","7:51.02","8/6/2015","800 F FR-R LCM","4x200 Metres Freestyle Relay Female LC","AUS","Australia","F","79","1/1/1900 12:07:51 AM","790","","","n/a","6","Barratt, Bronte","Ashwood, Jessica","Neale, Leah","McKeon, Emma","330","147","1/1/1900 12:07:51 AM","Y","0","Kazan","RUS","N"
"LEN: European Championships","7:51.63","5/19/2016","800 F FR-R LCM","4x200 Metres Freestyle Relay Female LC","HUN","Hungary","F","79","1/1/1900 12:07:51 AM","790","","","n/a","7","Jakabos, Zsuzsanna","Verraszto, Evelyn","Kapas, Boglarka","Hosszu, Katinka","400","138","1/1/1900 12:07:51 AM","Y","0","London","GBR","N"
"Swim Cup Eindhoven 2016","7:52.06","4/6/2016","800 F FR-R LCM","4x200 Metres Freestyle Relay Female LC","NED","Netherlands","F","79","1/1/1900 12:07:52 AM","790","","","n/a","8","Steenbergen, Marrit","Vermeulen, Esmee","Neumann, Robin","Heemskerk, Femke","447","296","1/1/1900 12:07:52 AM","Y","0","Eindhoven","NED","N"
"LEN: European Championships","7:53.38","5/19/2016","800 F FR-R LCM","4x200 Metres Freestyle Relay Female LC","ESP","Spain","F","79","1/1/1900 12:07:53 AM","790","","","n/a","9","Costa Schmid, Melania","Castro Ortega, Patricia","Gallardo Carapeto, Fatima","Belmonte, Mireia","491","277","1/1/1900 12:07:53 AM","Y","0","London","GBR","N"
"16th FINA WORLD CHAMPIONSHIPS","7:54.58","8/6/2015","800 F FR-R LCM","4x200 Metres Freestyle Relay Female LC","JPN","Japan","F","79","1/1/1900 12:07:54 AM","790","","","n/a","10","Igarashi, Chihiro","Ikee, Rikako","Mochida, Sachi","Aoki, Tomomi","411","238","1/1/1900 12:07:54 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","7:55.08","8/6/2015","800 F FR-R LCM","4x200 Metres Freestyle Relay Female LC","FRA","France","F","79","1/1/1900 12:07:55 AM","790","","","n/a","11","Bonnet, Charlotte","Balmy, Coralie","Fabre, Margaux","Etienne, Ophelie Cyrielle","384","281","1/1/1900 12:07:55 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","7:55.19","8/6/2015","800 F FR-R LCM","4x200 Metres Freestyle Relay Female LC","RUS","Russia","F","79","1/1/1900 12:07:55 AM","790","","","n/a","12","Andreeva, Viktoriya","Popova, Veronika","Openysheva, Arina","Mullakaeva, Daria","473","143","1/1/1900 12:07:55 AM","Y","0","Kazan","RUS","N"
"2015 Pan American Games","7:56.36","7/16/2015","800 F FR-R LCM","4x200 Metres Freestyle Relay Female LC","BRA","Brazil","F","79","1/1/1900 12:07:56 AM","790","","","n/a","13","Lyrio, Manuella","Cavalheiro, Jessica B","Maranhao, Joanna","Oliveira, Larissa","344","198","1/1/1900 12:07:56 AM","Y","0","Toronto","CAN","N"
"5th FINA World Junior Swimming Championships 2015","7:57.04","8/25/2015","800 F FR-R LCM","4x200 Metres Freestyle Relay Female LC","CAN","Canada","F","79","1/1/1900 12:07:57 AM","790","","","n/a","14","Oleksiak, Penny","Smith, Rebecca","Harvey, Mary-Sophie","Ruck, Taylor Madison","352","132","1/1/1900 12:07:57 AM","Y","0","Singapore","SIN","N"
"33th Grand Prix of Kranj & Open National Champions","8:00.40","5/28/2016","800 F FR-R LCM","4x200 Metres Freestyle Relay Female LC","SLO","Slovenia","F","79","1/1/1900 12:08:00 AM","790","","","n/a","15","Klinar, Anja","Pintar, Tjasa","Bohinc, Spela","Segel, Janja","487","145","1/1/1900 12:08:00 AM","Y","0","Kranj","SLO","N"
